temperature,clarity_std,neutrality_std,verifiability_std,coverage_std,structure_std,readability_std,informativeness_std
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.476,0.583,0.582,0.161,0.507,0.474
0.2,1.148,1.057,1.22,0.567,0.861,0.964,0.491
0.3,1.721,2.007,1.996,0.827,1.743,1.676,0.537
0.4,1.751,1.636,1.74,1.237,1.351,1.319,0.835
0.5,1.949,1.858,1.984,1.605,1.567,1.567,1.033
0.6,1.788,1.515,1.517,1.753,1.276,1.258,1.185
0.7,1.779,1.513,1.479,2.136,1.311,1.234,1.259
0.8,1.836,1.248,1.224,2.513,1.023,1.01,1.563
0.9,1.753,1.36,1.253,2.518,1.132,1.048,1.544
1.0,1.74,0.969,1.068,2.802,0.799,0.84,1.681
